qid,query
5,animal models of covid 19
8,coronavirus under reporting
13,how does coronavirus spread
14,coronavirus super spreaders
17,coronavirus clinical trials
18,masks prevent coronavirus
22,coronavirus heart impacts
26,coronavirus early symptoms
29,coronavirus drug repurposing
35,coronavirus public datasets
36,sars cov 2 spike structure
38,covid inflammatory response
41,covid 19 in african americans
46,dexamethasone coronavirus
47,covid 19 outcomes in children
48,school reopening coronavirus
