qid,query,modified_query
1048585,what is paula deen s brother,what is pula den s brothr
2,androgen receptor define,androen rcepto dfine
524332,treating tension headaches without medication,treting tenson heachs without medication
1048642,what is paranoid sc,what is paranoid sc
524447,treatment of varicose veins in legs,teatent of varcose eins in legs
786674,what is prime rate in canada,what i prie rate i caada
1048876,who plays young dr mallard on ncis,who lays young dr mllard n ncis
1048917,what is operating system misconfiguration,what is operating sstem isonfiguration
786786,what is priority pass,wha is irity pass
524699,tricare service number,tricare servic number
1048995,who proposed the geocentric theory,who propsed the geocentric theory
786857,what is probability biology,what is probabiity biology
524722,tricuspid atresia definition,ticuspid atresia dfinition
873886,what level does zubat evolves to,hat level does zubat evoves to
524733,trigeminal definition,trigemnal definiio
786918,what is process control equipment,what is prces ontrol equipment
786937,what is process improvement lean six sigma,what is proces imrovement lean six sigma
1049085,what is on the outside of dna,what is on the outside of dn
262232,how long is a day on ven,ow long is a day o ven
524835,tristesse definition,tristesse dfiniion
524848,trivex lenses cost,trivex lenses cost
1049200,who recorded loving you,who ecorded ovin ou
1049221,who recorded the song still the one,wh rered he song still the one
1049329,what is nyu ranked,wat is yu ranked
1049368,who s sherlock holmes,wo s shlock holes
787255,what is project charter in project management,wht is project chater in projet maement
262974,how long is a typical car loan,how long is a typical car lon
1049456,what is nortriptyline prescribed for,wat is nortriptyline prescribed for
1049774,cost of attendance eastern illinois university,ost f ttenane eastern illinis univeriy
1049791,what is njstart,what is jstart
525534,turkey and china time difference,turke and china time difference
1288,3 5 of 60,3 5 f 60
1049894,who sang i feel wonderful tonight,who san i feel oderful tonight
787784,what is provocative allergy testing,what s provocative allergy testing
1049955,what is net gain,wha is net gain
1050007,who sang louie louie louie louie,who sang louie louie ouie loui
525779,twin tower adress,twin ower adress
263670,how long is flight from hyd to dubai,how long is flight from hyd to dubai
811852,what is the common name for jade,wht is the commo name for jde
1576,60x40 slab cost,60x40 sla cot
525868,two rivers supervisory union,two rivers upervisory uion
306105,how much do jockeys have to weigh,ho much do jockeys ave o weigh
1050231,what is nabumetone used to treat,what is nabumetone used to treat
1050253,who sang the song i had the time of my life,who sang the sog i ha the ime o my life
1050275,what is myrtus,wha i myrtus
526013,type of antibiotic is oseltamivir,type of antibiotic is oseltaivir
263889,how long is if your on disability,how long is if your on disabiliy
788431,what is puritus ani fast,hat is purius ani fast
264150,how long is mount beacon,how lon is mout beacon
