qid,query
2,coronavirus response to weather changes
4,how do people die from the coronavirus
6,coronavirus test rapid testing
7,serological tests for coronavirus
10,coronavirus social distancing impact
11,coronavirus hospital rationing
16,how long does coronavirus survive on surfaces
19,what alcohol sanitizer kills coronavirus
20,coronavirus and ace inhibitors
28,coronavirus hydroxychloroquine
31,difference between coronavirus and flu
33,coronavirus vaccine candidates
37,sars cov 2 phylogenetic analysis
44,impact of masks on coronavirus transmission
45,coronavirus mental health impact
49,post infection covid 19 immunity
