,name,qid,measure,value
303,TerrierRetr(BM25),test-economy-beghwbh-con02a,R@10,1.0
304,TerrierRetr(BM25),test-economy-beghwbh-con02a,R@100,1.0
305,TerrierRetr(BM25),test-economy-beghwbh-con02a,RR@10,0.5
324,TerrierRetr(BM25),test-economy-bepighbdb-con02a,R@10,1.0
325,TerrierRetr(BM25),test-economy-bepighbdb-con02a,R@100,1.0
326,TerrierRetr(BM25),test-economy-bepighbdb-con02a,RR@10,0.25
327,TerrierRetr(BM25),test-economy-bepighbdb-con04a,R@10,0.0
328,TerrierRetr(BM25),test-economy-bepighbdb-con04a,R@100,0.0
329,TerrierRetr(BM25),test-economy-bepighbdb-con04a,RR@10,0.0
318,TerrierRetr(BM25),test-economy-bepighbdb-pro01a,R@10,0.0
319,TerrierRetr(BM25),test-economy-bepighbdb-pro01a,R@100,1.0
320,TerrierRetr(BM25),test-economy-bepighbdb-pro01a,RR@10,0.0
315,TerrierRetr(BM25),test-economy-bepighbdb-pro02a,R@10,1.0
316,TerrierRetr(BM25),test-economy-bepighbdb-pro02a,R@100,1.0
317,TerrierRetr(BM25),test-economy-bepighbdb-pro02a,RR@10,0.5
321,TerrierRetr(BM25),test-economy-bepighbdb-pro03a,R@10,0.0
322,TerrierRetr(BM25),test-economy-bepighbdb-pro03a,R@100,1.0
323,TerrierRetr(BM25),test-economy-bepighbdb-pro03a,RR@10,0.0
273,TerrierRetr(BM25),test-economy-bhahwbsps-pro03a,R@10,1.0
274,TerrierRetr(BM25),test-economy-bhahwbsps-pro03a,R@100,1.0
275,TerrierRetr(BM25),test-economy-bhahwbsps-pro03a,RR@10,0.5
216,TerrierRetr(BM25),test-economy-egecegphw-con01a,R@10,1.0
217,TerrierRetr(BM25),test-economy-egecegphw-con01a,R@100,1.0
218,TerrierRetr(BM25),test-economy-egecegphw-con01a,RR@10,0.5
213,TerrierRetr(BM25),test-economy-egecegphw-con03a,R@10,1.0
214,TerrierRetr(BM25),test-economy-egecegphw-con03a,R@100,1.0
215,TerrierRetr(BM25),test-economy-egecegphw-con03a,RR@10,0.16666666666666666
210,TerrierRetr(BM25),test-economy-egecegphw-pro01a,R@10,1.0
211,TerrierRetr(BM25),test-economy-egecegphw-pro01a,R@100,1.0
212,TerrierRetr(BM25),test-economy-egecegphw-pro01a,RR@10,0.3333333333333333
207,TerrierRetr(BM25),test-economy-egecegphw-pro02a,R@10,1.0
208,TerrierRetr(BM25),test-economy-egecegphw-pro02a,R@100,1.0
209,TerrierRetr(BM25),test-economy-egecegphw-pro02a,RR@10,0.3333333333333333
252,TerrierRetr(BM25),test-economy-egiahbwaka-con01a,R@10,1.0
253,TerrierRetr(BM25),test-economy-egiahbwaka-con01a,R@100,1.0
254,TerrierRetr(BM25),test-economy-egiahbwaka-con01a,RR@10,0.3333333333333333
249,TerrierRetr(BM25),test-economy-egiahbwaka-con03a,R@10,1.0
250,TerrierRetr(BM25),test-economy-egiahbwaka-con03a,R@100,1.0
251,TerrierRetr(BM25),test-economy-egiahbwaka-con03a,RR@10,0.5
246,TerrierRetr(BM25),test-economy-egiahbwaka-pro01a,R@10,1.0
247,TerrierRetr(BM25),test-economy-egiahbwaka-pro01a,R@100,1.0
248,TerrierRetr(BM25),test-economy-egiahbwaka-pro01a,RR@10,0.5
243,TerrierRetr(BM25),test-economy-egiahbwaka-pro02a,R@10,0.0
244,TerrierRetr(BM25),test-economy-egiahbwaka-pro02a,R@100,1.0
245,TerrierRetr(BM25),test-economy-egiahbwaka-pro02a,RR@10,0.0
270,TerrierRetr(BM25),test-economy-egppphbcb-con01a,R@10,0.0
271,TerrierRetr(BM25),test-economy-egppphbcb-con01a,R@100,0.0
272,TerrierRetr(BM25),test-economy-egppphbcb-con01a,RR@10,0.0
267,TerrierRetr(BM25),test-economy-egppphbcb-con03a,R@10,0.0
268,TerrierRetr(BM25),test-economy-egppphbcb-con03a,R@100,1.0
269,TerrierRetr(BM25),test-economy-egppphbcb-con03a,RR@10,0.0
258,TerrierRetr(BM25),test-economy-egppphbcb-pro01a,R@10,0.0
259,TerrierRetr(BM25),test-economy-egppphbcb-pro01a,R@100,1.0
260,TerrierRetr(BM25),test-economy-egppphbcb-pro01a,RR@10,0.0
255,TerrierRetr(BM25),test-economy-egppphbcb-pro02a,R@10,1.0
256,TerrierRetr(BM25),test-economy-egppphbcb-pro02a,R@100,1.0
257,TerrierRetr(BM25),test-economy-egppphbcb-pro02a,RR@10,0.3333333333333333
261,TerrierRetr(BM25),test-economy-egppphbcb-pro03a,R@10,0.0
262,TerrierRetr(BM25),test-economy-egppphbcb-pro03a,R@100,0.0
263,TerrierRetr(BM25),test-economy-egppphbcb-pro03a,RR@10,0.0
264,TerrierRetr(BM25),test-economy-egppphbcb-pro04a,R@10,1.0
265,TerrierRetr(BM25),test-economy-egppphbcb-pro04a,R@100,1.0
266,TerrierRetr(BM25),test-economy-egppphbcb-pro04a,RR@10,0.5
300,TerrierRetr(BM25),test-economy-epehwmrbals-con01a,R@10,0.0
301,TerrierRetr(BM25),test-economy-epehwmrbals-con01a,R@100,1.0
302,TerrierRetr(BM25),test-economy-epehwmrbals-con01a,RR@10,0.0
297,TerrierRetr(BM25),test-economy-epehwmrbals-con03a,R@10,0.0
298,TerrierRetr(BM25),test-economy-epehwmrbals-con03a,R@100,0.0
299,TerrierRetr(BM25),test-economy-epehwmrbals-con03a,RR@10,0.0
294,TerrierRetr(BM25),test-economy-epehwmrbals-pro01a,R@10,0.0
295,TerrierRetr(BM25),test-economy-epehwmrbals-pro01a,R@100,1.0
296,TerrierRetr(BM25),test-economy-epehwmrbals-pro01a,RR@10,0.0
291,TerrierRetr(BM25),test-economy-epehwmrbals-pro02a,R@10,1.0
292,TerrierRetr(BM25),test-economy-epehwmrbals-pro02a,R@100,1.0
293,TerrierRetr(BM25),test-economy-epehwmrbals-pro02a,RR@10,0.3333333333333333
306,TerrierRetr(BM25),test-economy-epsihbdns-pro02a,R@10,0.0
307,TerrierRetr(BM25),test-economy-epsihbdns-pro02a,R@100,1.0
308,TerrierRetr(BM25),test-economy-epsihbdns-pro02a,RR@10,0.0
309,TerrierRetr(BM25),test-economy-epsihbdns-pro03a,R@10,0.0
310,TerrierRetr(BM25),test-economy-epsihbdns-pro03a,R@100,1.0
311,TerrierRetr(BM25),test-economy-epsihbdns-pro03a,RR@10,0.0
312,TerrierRetr(BM25),test-economy-epsihbdns-pro04a,R@10,0.0
313,TerrierRetr(BM25),test-economy-epsihbdns-pro04a,R@100,1.0
314,TerrierRetr(BM25),test-economy-epsihbdns-pro04a,RR@10,0.0
288,TerrierRetr(BM25),test-economy-fiahwpamu-pro02a,R@10,1.0
289,TerrierRetr(BM25),test-economy-fiahwpamu-pro02a,R@100,1.0
290,TerrierRetr(BM25),test-economy-fiahwpamu-pro02a,RR@10,0.5
285,TerrierRetr(BM25),test-economy-thhghwhwift-con01a,R@10,1.0
286,TerrierRetr(BM25),test-economy-thhghwhwift-con01a,R@100,1.0
287,TerrierRetr(BM25),test-economy-thhghwhwift-con01a,RR@10,0.3333333333333333
282,TerrierRetr(BM25),test-economy-thhghwhwift-con02a,R@10,0.0
283,TerrierRetr(BM25),test-economy-thhghwhwift-con02a,R@100,1.0
284,TerrierRetr(BM25),test-economy-thhghwhwift-con02a,RR@10,0.0
279,TerrierRetr(BM25),test-economy-thhghwhwift-pro01a,R@10,0.0
280,TerrierRetr(BM25),test-economy-thhghwhwift-pro01a,R@100,1.0
281,TerrierRetr(BM25),test-economy-thhghwhwift-pro01a,RR@10,0.0
