qid,query,orig_query
1048585,"What is Paula Deen's brother?
Paula Deen's brother
Paula Deen family member
brother of celebrity chef 
family ties to Southern cuisine
Paula Deen sibling
Deen family connection 
Southern cooking heritage",what is paula deen s brother
2,androgen receptor define male hormone biology testosterone genetics endocrine system medical science anatomy physiology hormone therapy gender identity development,androgen receptor define
524332,treating tension headaches without medication stress relief techniques alternative pain management methods non pharmaceutical treatments for headache management natural ways to alleviate tension headaches relaxation techniques for headache relief,treating tension headaches without medication
1048642,what is paranoid schizophrenia,what is paranoid sc
524447,varicose veins treatment in legs varicose vein surgery treatment options for varicose veins in leg pain relief from varicose veins treatment of varicose vein symptoms varicose vein removal leg vein treatments best treatment for varicose veins at home varicose vein care and management alternative treatments for varicose veins,treatment of varicose veins in legs
786674,"What is prime rate in Canada
bank of canada interest rates
prime lending rate in Canada
central bank monetary policy
canadian banking regulations
interest rate setting body
monetary policy framework",what is prime rate in canada
1048876,"who plays young dr ducky on ncis
young actor who played ncis character 
ncis male lead as a child 
actor playing younger version of ncis doctor 
male actor in ncis show as a kid",who plays young dr mallard on ncis
1048917,operating system misconfiguration vulnerabilities configuration errors security flaws system administration mistakes operating system setup issues software deployment problems hardware compatibility issues network configuration errors cybersecurity risks management oversight technical incompetence policy noncompliance compliance failures system instability issues,what is operating system misconfiguration
786786,What is Priority Pass,what is priority pass
524699,tricare service number healthcare benefits military medical tricare prime tricare extra tricare standard medicare supplemental insurance medicaid health plans government assistance programs veterans affairs healthcare services enrollment registration application process,tricare service number
1048995,who proposed geocentric theory ancient greek philosophers Aristotle Ptolemy medieval scholars,who proposed the geocentric theory
786857,probability theory in biology evolutionary probability genetics statistical analysis of biological data probabilistic modeling of genetic variation stochastic processes in population dynamics Bayesian inference for molecular sequence analysis,what is probability biology
524722,tricuspid atresia definition heart defect congenital heart disease cardiac malformation tricuspid valve abnormality right ventricular hypoplasia single ventricle syndrome cyanotic congenital heart disease pediatric cardiology fetal echocardiography prenatal diagnosis cardiovascular anomalies medical terminology anatomy,tricuspid atresia definition
873886,What level does Zubat evolve to?,what level does zubat evolves to
524733,"trigeminal nerve, trigeminal neuralgia, trigeminal nerve damage, fifth cranial nerve, facial pain syndrome",trigeminal definition
786918,"Process control equipment includes sensors, actuators, controllers, valves, pumps, motors, drives, and other devices used for monitoring and regulating industrial processes to maintain optimal performance and efficiency.",what is process control equipment
786937,"what is process improvement lean six sigma
process improvement methodologies
lean manufacturing principles
six sigma methodology
total quality management techniques
continuous improvement strategies
operational excellence initiatives
business process optimization tools
quality control and assurance methods",what is process improvement lean six sigma
1049085,"What is on the outside of DNA molecules
what surrounds dna molecule
outer structure of dna molecule
dna envelope
dna coating
dna layer
cell membrane surrounding dna",what is on the outside of dna
262232,how long is a day on venus duration of venus day planet venus length of venus orbit time period of venus rotation,how long is a day on ven
524835,tristesse sadness sorrow melancholy despair despondency gloominess woe desolation depression,tristesse definition
524848,trivex lenses cost glasses prescription lenses cost online trivex lens price trivex lens cost near me triflex contact lenses cost triflex lens price,trivex lenses cost
1049200,"who recorded loving you
loving songs
love ballads
romantic love songs
valentine's day love songs
love songs of all time
romantic music",who recorded loving you
1049221,"who recorded still the one
who sang still the one song
still the one music artist
still the one lyrics by
who performed still the one",who recorded the song still the one
1049329,What is New York University ranked in academic programs worldwide?,what is nyu ranked
1049368,sherlock holmes detective fictional character literary figure famous mystery solving detective stories novels books author creator,who s sherlock holmes
787255,project charter definition project management initial project plan proposal template outline scope statement deliverables objectives project kickoff meeting,what is project charter in project management
262974,How long is a typical car loan period average duration of car financing term length car loan term length auto loan repayment period,how long is a typical car loan
1049456,what is nortriptyline prescribed for depression anxiety pain migraines nerve damage fibromyalgia chronic pain conditions mental health disorders antidepressants mood stabilizers,what is nortriptyline prescribed for
1049774,cost of attendance eastern illinois university tuition fees financial aid scholarships student loans university expenses living costs educational expenses total cost of attending eastern illinois university,cost of attendance eastern illinois university
1049791,"Perform query expansion on the given query ""what is njstart"". Enhance the query by adding additional contextually relevant terms that could help retrieve documents lacking direct lexical overlap with the original query. Add synonyms or related terms to broaden its scope.

""What is New Jersey Startup"" 
""What is NJ startup""
""New Jersey startup companies""",what is njstart
525534,turkey china time difference turkey china clock difference east west time difference turkey china culture chinese new year turkey china holidays,turkey and china time difference
1288,3 5 of stock market news articles,3 5 of 60
1049894,"who sang feel wonderful tonight
feel wonderful song lyrics
i feel wonderful love song
music i feel wonderful
song i feel wonderful in
i feel wonderful female singer 
feeling wonderful music songs",who sang i feel wonderful tonight
787784,allergy testing methods provocative skin prick test patch tests challenge doses tolerance reactions hypersensitivity testing methods allergy diagnostic tests medical allergy testing procedures.,what is provocative allergy testing
1049955,net gain profit surplus advantage benefit return increase earnings gain revenue profit margin,what is net gain
1050007,who sang louie louie song by kingsmen,who sang louie louie louie louie
525779,tower building twin towers skyscraper world trade center lower manhattan new york city,twin tower adress
263670,How long is flight from Hyderabad to Dubai flight duration Hyderabad Dubai flight travel time flight distance flights from hyderabad to dubai,how long is flight from hyd to dubai
811852,"What is jade's common name in English? Perform query expansion on the given query. Enhance the query by adding additional contextually relevant terms that could help retrieve documents lacking direct lexical overlap with the original query. Add synonyms or related terms to broaden its scope. 

stone of good luck, green gemstone, precious stone, ornamental stone",what is the common name for jade
1576,slab cost concrete slab price building material prices construction costs materials suppliers outdoor flooring,60x40 slab cost
525868,two rivers supervisory union schools community education administration management local government regional development rural areas public service non profit organization,two rivers supervisory union
